months_as_customer,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_location,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,fraud_reported
140,500/1000,500,708.64,6000000,MALE,High School,machine-op-inspct,unmarried,53500,0,1/6/2015,Single Vehicle Collision,Side Collision,Total Loss,Police,4546 Tree St,1,NO,0,2,YES,77880,14160,7080,56640,N
160,500/1000,500,1374.22,0,FEMALE,MD,craft-repair,other-relative,45500,-37800,1/19/2015,Single Vehicle Collision,Side Collision,Total Loss,Other,3842 Solo Ridge,1,YES,1,0,NO,72930,6630,13260,53040,N
196,500/1000,2000,1475.73,0,FEMALE,High School,handlers-cleaners,own-child,57000,-27300,2/22/2015,Multi-vehicle Collision,Side Collision,Major Damage,Police,8101 3rd Ridge,3,?,2,0,NO,60400,6040,6040,48320,N
460,250/500,1000,1187.96,4000000,MALE,JD,other-service,own-child,0,0,1/1/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,5380 Pine St,3,NO,1,0,?,47160,0,5240,41920,N
217,500/1000,2000,875.15,0,FEMALE,Associate,machine-op-inspct,own-child,46700,0,2/10/2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,8957 Weaver Drive,3,?,1,2,?,37840,0,4730,33110,N
370,100/300,2000,972.18,0,MALE,High School,prof-specialty,other-relative,72700,-68200,1/11/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,2526 Embaracadero Ave,3,NO,0,0,YES,71520,17880,5960,47680,Y
413,100/300,2000,1268.79,0,MALE,MD,priv-house-serv,own-child,0,-31000,1/19/2015,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,5667 4th Drive,1,?,2,2,?,98160,8180,16360,73620,Y
237,100/300,1000,883.31,0,MALE,College,craft-repair,husband,0,-53500,2/24/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Other,2502 Apache Hwy,1,NO,1,3,NO,77880,7080,14160,56640,N
8,100/300,2000,1266.92,0,MALE,Masters,sales,own-child,0,0,1/9/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Other,3418 Texas Lane,3,NO,1,3,YES,71500,16500,11000,44000,Y
257,100/300,2000,1322.1,0,MALE,High School,prof-specialty,own-child,0,-29200,1/28/2015,Parked Car,?,Minor Damage,Police,2533 Elm St,1,YES,1,3,YES,9020,1640,820,6560,N
202,100/300,500,848.07,3000000,MALE,JD,exec-managerial,not-in-family,31000,-30200,1/7/2015,Vehicle Theft,?,Minor Damage,None,3790 Andromedia Hwy,1,YES,2,1,?,5720,1040,520,4160,Y
224,100/300,2000,1291.7,0,FEMALE,JD,sales,not-in-family,0,-55600,1/8/2015,Single Vehicle Collision,Side Collision,Minor Damage,Other,3220 Rock Drive,1,NO,1,0,YES,69840,7760,15520,46560,N
241,500/1000,2000,1104.5,0,FEMALE,PhD,machine-op-inspct,unmarried,0,0,2/15/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Police,2100 Francis Drive,1,NO,2,2,NO,91650,14100,14100,63450,N
64,250/500,1000,954.16,0,MALE,Masters,prof-specialty,husband,53200,0,1/18/2015,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,4687 5th Drive,4,NO,0,0,?,75600,12600,12600,50400,N
166,100/300,2000,1337.28,8000000,MALE,JD,craft-repair,husband,27500,0,2/28/2015,Multi-vehicle Collision,Side Collision,Major Damage,Police,9038 2nd Lane,3,NO,2,2,?,67140,7460,7460,52220,Y
155,500/1000,1000,1088.34,0,FEMALE,Associate,adm-clerical,other-relative,81100,0,2/24/2015,Multi-vehicle Collision,Front Collision,Total Loss,Police,6092 5th Ave,3,YES,2,3,NO,29790,3310,3310,23170,N
114,100/300,1000,1558.29,0,MALE,High School,farming-fishing,wife,51400,-64000,1/9/2015,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,8353 Britain Ridge,3,NO,1,2,?,77110,14020,14020,49070,N
149,500/1000,500,1415.68,0,MALE,PhD,prof-specialty,own-child,0,0,2/12/2015,Single Vehicle Collision,Side Collision,Total Loss,Fire,3540 Maple St,1,YES,0,1,YES,64800,10800,5400,48600,N
147,100/300,1000,1334.15,6000000,MALE,High School,craft-repair,not-in-family,53300,-49200,1/24/2015,Single Vehicle Collision,Front Collision,Major Damage,Other,3104 Sky Drive,1,YES,2,0,YES,53100,10620,5310,37170,Y
62,100/300,1000,988.45,0,FEMALE,Masters,protective-serv,unmarried,0,0,1/9/2015,Single Vehicle Collision,Rear Collision,Total Loss,Police,4981 Weaver St,1,?,1,1,YES,60200,6020,6020,48160,Y
289,500/1000,2000,1222.48,0,FEMALE,JD,priv-house-serv,unmarried,0,0,1/18/2015,Parked Car,?,Minor Damage,None,6676 Tree Lane,1,NO,1,1,YES,5330,1230,820,3280,N
431,500/1000,2000,1155.55,0,FEMALE,MD,craft-repair,unmarried,65700,0,1/21/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Police,3930 Embaracadero St,3,?,2,0,?,62300,12460,6230,43610,N
199,250/500,500,1262.08,0,MALE,JD,tech-support,wife,48500,0,1/8/2015,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,3422 Flute St,1,?,0,3,NO,60170,10940,10940,38290,Y
79,100/300,500,1451.62,0,MALE,Associate,tech-support,not-in-family,0,-55700,1/3/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,4862 Lincoln Hwy,1,NO,2,2,?,40000,8000,4000,28000,N
116,250/500,500,1737.66,0,MALE,Associate,transport-moving,unmarried,0,-24100,1/1/2015,Single Vehicle Collision,Side Collision,Major Damage,Police,5719 2nd Lane,1,?,1,1,?,97080,16180,16180,64720,Y
37,500/1000,500,1475.93,0,FEMALE,College,prof-specialty,husband,0,-67400,1/16/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Other,3221 Solo Ridge,3,YES,1,0,NO,51660,5740,5740,40180,N
106,250/500,500,538.17,0,FEMALE,PhD,transport-moving,own-child,49700,-60200,2/10/2015,Single Vehicle Collision,Rear Collision,Total Loss,Other,6660 MLK Drive,1,NO,2,2,NO,51120,5680,5680,39760,N
269,100/300,2000,1081.08,0,MALE,JD,priv-house-serv,unmarried,36400,-28700,2/14/2015,Single Vehicle Collision,Front Collision,Minor Damage,Other,1699 Oak Drive,1,YES,0,2,?,56400,11280,11280,33840,N
265,250/500,1000,1454.43,0,FEMALE,MD,protective-serv,husband,0,0,2/21/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Other,4234 Cherokee Lane,3,NO,2,3,?,55120,6890,0,48230,N
163,100/300,500,1240.47,0,FEMALE,Associate,other-service,husband,35300,0,2/18/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,7476 4th St,3,YES,1,1,?,77110,0,14020,63090,N
355,500/1000,2000,1273.7,4000000,MALE,College,other-service,husband,0,0,1/10/2015,Multi-vehicle Collision,Front Collision,Major Damage,Fire,8907 Tree Ave,3,NO,2,1,NO,62800,6280,6280,50240,Y
175,500/1000,1000,1123.87,8000000,FEMALE,PhD,protective-serv,other-relative,0,0,2/26/2015,Vehicle Theft,?,Trivial Damage,Police,6619 Flute Ave,1,?,2,0,YES,7290,810,810,5670,N
192,100/300,1000,1245.89,0,FEMALE,Masters,exec-managerial,wife,0,-40300,1/1/2015,Single Vehicle Collision,Rear Collision,Total Loss,Other,6011 Britain St,1,NO,0,0,?,76600,15320,7660,53620,N
430,250/500,2000,1326.62,7000000,MALE,MD,other-service,own-child,0,0,1/3/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,5104 Francis Drive,3,?,0,3,YES,81800,16360,8180,57260,N
91,100/300,2000,1073.83,0,FEMALE,JD,farming-fishing,husband,0,0,1/17/2015,Vehicle Theft,?,Trivial Damage,None,2280 4th Ave,1,?,1,2,?,7260,1320,660,5280,N
217,100/300,1000,1530.52,0,MALE,College,armed-forces,not-in-family,0,0,2/22/2015,Vehicle Theft,?,Minor Damage,None,2644 Elm Drive,1,?,2,1,YES,4300,430,430,3440,N
223,100/300,500,1201.41,0,FEMALE,JD,priv-house-serv,husband,88400,-46500,1/27/2015,Multi-vehicle Collision,Side Collision,Major Damage,Police,7466 MLK Ridge,3,YES,1,0,?,70510,12820,12820,44870,N
195,250/500,1000,1393.57,0,MALE,PhD,machine-op-inspct,not-in-family,47600,-39600,2/27/2015,Parked Car,?,Minor Damage,Police,5821 2nd St,1,NO,0,1,YES,2640,480,480,1680,N
22,100/300,1000,1276.57,0,MALE,PhD,craft-repair,not-in-family,71500,0,1/6/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,6723 Best Drive,1,YES,1,2,NO,78900,15780,7890,55230,N
439,250/500,500,1082.49,0,FEMALE,PhD,prof-specialty,unmarried,36100,-55000,2/28/2015,Multi-vehicle Collision,Front Collision,Major Damage,Fire,4866 4th Hwy,3,?,2,3,?,56430,0,6270,50160,N
94,500/1000,1000,1414.74,0,FEMALE,Masters,adm-clerical,own-child,0,0,2/22/2015,Parked Car,?,Minor Damage,None,5418 Britain Ave,1,NO,1,3,NO,2400,300,300,1800,N
11,250/500,2000,1470.06,0,MALE,PhD,other-service,husband,56600,-45800,1/7/2015,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,4296 Pine Hwy,1,YES,0,1,NO,65790,7310,7310,51170,N
151,250/500,2000,870.63,0,FEMALE,MD,adm-clerical,own-child,94800,-58500,1/6/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Police,2299 1st St,3,NO,1,1,NO,62920,11440,5720,45760,N
154,100/300,500,795.23,0,MALE,PhD,machine-op-inspct,other-relative,36900,0,1/10/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Police,6618 Cherokee Drive,3,YES,2,1,?,69480,15440,0,54040,Y
245,500/1000,1000,1168.2,0,MALE,JD,handlers-cleaners,husband,69100,0,2/11/2015,Multi-vehicle Collision,Side Collision,Total Loss,Other,7459 Flute St,3,NO,0,3,NO,44280,7380,3690,33210,N
119,500/1000,1000,993.51,0,MALE,High School,armed-forces,unmarried,0,-49500,1/12/2015,Single Vehicle Collision,Side Collision,Minor Damage,Other,3567 4th Drive,1,NO,0,3,YES,56300,5630,11260,39410,N
215,500/1000,500,1848.81,0,MALE,JD,transport-moving,own-child,0,-49000,2/6/2015,Multi-vehicle Collision,Front Collision,Major Damage,Fire,2457 Washington Ave,3,YES,2,2,YES,68520,11420,5710,51390,Y
295,250/500,2000,1641.73,5000000,MALE,PhD,sales,not-in-family,62400,0,1/20/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,1269 Flute Drive,3,NO,0,0,NO,59130,6570,6570,45990,Y
254,100/300,500,1362.87,0,FEMALE,MD,exec-managerial,other-relative,35700,0,2/22/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,1218 Sky Hwy,3,YES,2,2,NO,82320,13720,6860,61740,Y
107,250/500,500,1239.22,7000000,FEMALE,High School,tech-support,not-in-family,43400,-91200,1/30/2015,Single Vehicle Collision,Side Collision,Minor Damage,Fire,9169 Pine Ridge,1,YES,0,1,NO,89700,13800,13800,62100,Y
478,250/500,500,835.02,0,FEMALE,Associate,adm-clerical,unmarried,59600,0,2/2/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,8538 Texas Lane,3,NO,1,1,NO,33930,0,3770,30160,N
128,100/300,1000,1061.33,0,MALE,MD,machine-op-inspct,own-child,43300,-66200,1/10/2015,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,5783 Oak Ave,1,NO,0,3,NO,68530,12460,6230,49840,N
338,500/1000,1000,1279.08,0,MALE,MD,other-service,own-child,0,-51500,2/27/2015,Parked Car,?,Minor Damage,None,7721 Washington Ridge,1,NO,0,1,?,4300,860,860,2580,N
271,100/300,500,1105.49,0,FEMALE,Associate,prof-specialty,own-child,56200,-50000,2/20/2015,Multi-vehicle Collision,Side Collision,Major Damage,Other,8006 Maple Hwy,2,?,2,3,?,68310,12420,6210,49680,Y
222,100/300,2000,1055.53,0,FEMALE,MD,armed-forces,not-in-family,37800,-50300,2/8/2015,Single Vehicle Collision,Front Collision,Total Loss,Other,6751 Pine Ridge,1,NO,0,2,NO,61290,6810,6810,47670,Y
199,250/500,1000,895.83,0,FEMALE,Associate,sales,husband,0,0,2/11/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,2324 Texas Ridge,1,NO,1,2,NO,30100,3010,0,27090,N
215,100/300,500,1632.93,0,FEMALE,College,transport-moving,not-in-family,0,-42900,2/23/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,7923 Elm Ave,3,NO,2,0,YES,57120,9520,4760,42840,N
192,100/300,1000,1405.99,0,FEMALE,Associate,sales,wife,0,0,3/1/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,4755 Best Lane,3,YES,1,0,YES,42930,9540,4770,28620,N
120,100/300,1000,1425.54,0,FEMALE,High School,transport-moving,other-relative,78300,0,1/15/2015,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,5053 Tree Drive,3,NO,2,0,NO,51210,11380,5690,34140,N
270,500/1000,1000,1038.09,0,FEMALE,College,handlers-cleaners,husband,0,-19700,1/14/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,2078 3rd Ave,3,NO,1,1,YES,89400,14900,7450,67050,N
319,250/500,500,1307.11,0,MALE,College,transport-moving,not-in-family,0,0,2/17/2015,Multi-vehicle Collision,Front Collision,Total Loss,Police,2804 Best St,3,NO,0,2,?,59730,10860,10860,38010,N
194,500/1000,1000,1489.24,6000000,FEMALE,JD,other-service,wife,0,-45000,1/24/2015,Vehicle Theft,?,Minor Damage,None,7877 Sky Lane,1,YES,2,2,YES,8060,1240,1240,5580,N
227,500/1000,500,976.67,0,FEMALE,PhD,handlers-cleaners,unmarried,0,0,1/21/2015,Single Vehicle Collision,Rear Collision,Major Damage,Fire,6530 Weaver Ave,1,?,1,2,?,72200,14440,7220,50540,Y
137,250/500,2000,1340.43,0,MALE,High School,exec-managerial,husband,52700,-40600,2/19/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,3087 Oak Hwy,3,NO,1,2,NO,50800,10160,10160,30480,N
244,500/1000,2000,1267.81,5000000,FEMALE,Masters,exec-managerial,wife,0,0,1/3/2015,Vehicle Theft,?,Trivial Damage,None,7098 Lincoln Hwy,1,?,2,1,?,6600,660,1320,4620,N
78,250/500,1000,1234.2,6000000,MALE,Masters,other-service,other-relative,0,0,1/29/2015,Vehicle Theft,?,Minor Damage,Police,5124 Maple St,1,YES,2,2,NO,7500,750,1500,5250,N
200,250/500,2000,1318.06,0,MALE,High School,exec-managerial,wife,57300,-80600,1/19/2015,Vehicle Theft,?,Trivial Damage,None,2333 Maple Lane,1,NO,0,3,YES,6490,1180,1180,4130,N
284,500/1000,2000,769.95,0,MALE,Masters,prof-specialty,not-in-family,0,-44200,1/19/2015,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,1012 5th Lane,2,?,2,3,NO,60940,5540,11080,44320,Y
275,100/300,2000,1514.72,0,MALE,High School,transport-moving,own-child,35700,0,2/2/2015,Multi-vehicle Collision,Front Collision,Major Damage,Fire,7477 MLK Drive,3,YES,0,1,?,58300,5830,11660,40810,N
153,500/1000,1000,873.64,4000000,FEMALE,Associate,priv-house-serv,husband,800,0,1/30/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Other,9489 3rd St,3,NO,2,1,?,68400,11400,11400,45600,N
134,500/1000,500,1612.43,0,FEMALE,MD,other-service,own-child,36400,0,1/8/2015,Single Vehicle Collision,Side Collision,Total Loss,Fire,2087 Apache Ave,1,?,2,1,YES,64240,11680,11680,40880,N
31,500/1000,2000,1318.24,9000000,FEMALE,College,prof-specialty,not-in-family,0,-78600,1/30/2015,Parked Car,?,Trivial Damage,None,5540 Sky St,1,NO,0,1,YES,4700,940,470,3290,N
41,100/300,1000,1226.83,0,FEMALE,College,exec-managerial,not-in-family,0,-56100,1/7/2015,Multi-vehicle Collision,Side Collision,Major Damage,Other,7238 2nd St,3,YES,2,0,?,45120,0,5640,39480,Y
127,250/500,2000,1326.44,5000000,FEMALE,High School,sales,own-child,0,0,2/24/2015,Multi-vehicle Collision,Front Collision,Total Loss,Fire,8442 Britain Hwy,2,YES,1,1,?,66950,10300,10300,46350,N
61,250/500,2000,1136.83,4000000,FEMALE,Associate,tech-support,own-child,0,-62400,2/2/2015,Single Vehicle Collision,Side Collision,Major Damage,Police,1331 Britain Hwy,1,NO,0,3,?,98340,8940,17880,71520,Y
207,250/500,2000,1322.78,0,MALE,PhD,farming-fishing,own-child,55200,0,2/28/2015,Parked Car,?,Trivial Damage,None,5260 Francis Drive,1,NO,0,1,NO,5900,590,590,4720,N
219,100/300,1000,1483.25,0,FEMALE,MD,exec-managerial,not-in-family,90700,-20800,2/9/2015,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,1135 Solo Lane,3,NO,1,1,?,70680,5890,11780,53010,N
271,100/300,500,1515.3,0,FEMALE,High School,machine-op-inspct,not-in-family,0,0,1/19/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,9737 Solo Hwy,3,NO,1,0,NO,93720,17040,8520,68160,N
80,100/300,2000,1075.18,5000000,FEMALE,PhD,armed-forces,husband,67700,-58400,2/21/2015,Vehicle Theft,?,Minor Damage,None,3289 Britain Drive,1,NO,2,0,YES,6930,1260,630,5040,N
325,500/1000,1000,1690.27,0,FEMALE,Associate,protective-serv,not-in-family,61500,0,1/14/2015,Single Vehicle Collision,Side Collision,Major Damage,Fire,6550 Andromedia St,1,YES,0,3,NO,72930,6630,6630,59670,Y
29,250/500,2000,1352.83,0,MALE,Masters,farming-fishing,own-child,0,-71700,1/22/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,1679 2nd Hwy,4,YES,1,2,YES,64890,7210,7210,50470,Y
295,250/500,1000,1148.73,0,FEMALE,College,machine-op-inspct,wife,0,0,2/22/2015,Parked Car,?,Trivial Damage,None,3998 Flute St,1,?,1,2,YES,5400,900,900,3600,N
239,100/300,1000,969.5,0,MALE,College,exec-managerial,not-in-family,0,0,1/26/2015,Vehicle Theft,?,Trivial Damage,None,2430 MLK Ave,1,NO,0,0,?,5600,700,700,4200,N
269,100/300,500,1463.82,0,FEMALE,College,protective-serv,not-in-family,0,-72300,1/24/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Police,7717 Britain Hwy,1,YES,0,0,?,79300,15860,15860,47580,N
80,100/300,1000,1474.17,0,FEMALE,College,tech-support,unmarried,0,0,2/19/2015,Single Vehicle Collision,Side Collision,Major Damage,Police,7773 Tree Hwy,1,YES,1,0,YES,52800,10560,5280,36960,N
279,250/500,500,1497.35,0,FEMALE,JD,prof-specialty,husband,37300,-31700,1/29/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,2199 Texas Drive,3,?,2,3,NO,28800,0,3600,25200,N
165,100/300,1000,1427.14,0,FEMALE,Associate,tech-support,other-relative,35300,-58100,2/15/2015,Parked Car,?,Minor Damage,Police,1028 Sky Lane,1,NO,1,1,NO,2970,330,330,2310,N
350,500/1000,500,1495.1,0,MALE,College,other-service,wife,50500,0,2/12/2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,4154 Lincoln Hwy,3,NO,0,0,?,93480,15580,7790,70110,N
295,100/300,500,1141.62,0,MALE,College,prof-specialty,husband,34300,-24300,1/1/2015,Vehicle Theft,?,Minor Damage,None,8085 Andromedia St,1,YES,1,3,YES,4320,480,480,3360,N
464,500/1000,1000,1125.37,0,FEMALE,Associate,prof-specialty,husband,0,-56400,1/13/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Police,4793 4th Ridge,3,?,0,2,YES,79800,6650,19950,53200,Y
118,500/1000,2000,1207.36,0,FEMALE,High School,handlers-cleaners,own-child,0,-57000,3/1/2015,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,7428 Sky Hwy,2,NO,1,0,?,74200,7420,14840,51940,N
298,500/1000,2000,1338.5,0,FEMALE,PhD,machine-op-inspct,other-relative,28800,0,2/2/2015,Single Vehicle Collision,Front Collision,Major Damage,Fire,2306 5th Lane,1,?,0,0,?,70590,10860,10860,48870,Y
87,500/1000,1000,1074.07,0,FEMALE,Masters,sales,husband,0,-47500,1/27/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,3052 Weaver Ridge,3,NO,0,3,YES,60940,5540,11080,44320,Y
261,250/500,500,1337.56,0,FEMALE,College,prof-specialty,unmarried,0,0,1/12/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Police,5211 Weaver Drive,1,?,1,2,YES,74700,7470,14940,52290,N
453,100/300,500,1298.91,6000000,MALE,PhD,craft-repair,unmarried,52600,-38800,1/6/2015,Single Vehicle Collision,Front Collision,Major Damage,Fire,7253 MLK St,1,YES,0,0,?,70000,14000,7000,49000,Y
210,500/1000,500,1222.75,0,MALE,High School,exec-managerial,other-relative,0,-41000,1/30/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Other,1454 5th Ridge,3,?,2,0,NO,81070,14740,14740,51590,N
168,100/300,1000,1059.52,0,MALE,MD,protective-serv,own-child,0,-40600,3/1/2015,Multi-vehicle Collision,Side Collision,Major Damage,Other,5622 Best Ridge,2,?,1,1,?,57720,14430,9620,33670,N
390,250/500,2000,1124.38,0,MALE,Associate,armed-forces,other-relative,0,0,2/24/2015,Vehicle Theft,?,Minor Damage,None,4574 Britain Hwy,1,YES,1,1,YES,7080,1180,1180,4720,N
258,100/300,1000,1110.37,10000000,MALE,MD,machine-op-inspct,other-relative,34400,-56800,1/24/2015,Multi-vehicle Collision,Side Collision,Total Loss,Other,4539 Texas St,3,NO,0,1,?,47700,4770,9540,33390,Y
107,500/1000,2000,1374.22,0,FEMALE,PhD,machine-op-inspct,other-relative,62000,-63100,2/26/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Police,8118 Elm Ridge,1,NO,0,3,NO,51260,9320,9320,32620,N
225,500/1000,2000,1103.58,0,MALE,High School,exec-managerial,unmarried,41200,-36200,1/19/2015,Multi-vehicle Collision,Side Collision,Major Damage,Police,3814 Britain Drive,3,?,2,2,NO,70400,6400,12800,51200,Y
164,250/500,2000,1269.76,0,FEMALE,PhD,transport-moving,not-in-family,44300,0,1/17/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,4614 MLK Ave,1,NO,1,3,YES,90000,18000,9000,63000,N
245,250/500,500,964.79,8000000,FEMALE,Associate,adm-clerical,husband,58000,0,2/20/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,1628 Best Drive,3,?,0,1,?,72820,13240,6620,52960,N
255,500/1000,2000,1167.3,4000000,MALE,High School,priv-house-serv,other-relative,0,0,2/22/2015,Single Vehicle Collision,Side Collision,Minor Damage,Fire,8381 Solo Hwy,1,NO,2,0,?,69300,13860,13860,41580,N
206,500/1000,500,1625.45,4000000,FEMALE,MD,other-service,other-relative,0,-53700,1/23/2015,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,2100 MLK St,1,NO,2,1,NO,76560,12760,12760,51040,Y
203,250/500,500,1394.43,0,FEMALE,Masters,other-service,not-in-family,0,0,1/31/2015,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,5071 Flute Ridge,1,?,0,1,YES,55440,0,6160,49280,Y
22,250/500,2000,1053.24,0,FEMALE,College,prof-specialty,other-relative,51100,0,1/5/2015,Multi-vehicle Collision,Front Collision,Total Loss,Other,7551 Britain Lane,4,YES,1,0,NO,77130,8570,17140,51420,N
